iterations,timesteps,gradient updates,reward 0,mean,stdev
0.0,0.0,0.0,-556.6311505051607,-556.6311505051607,0.0
10.0,20480.0,40.0,-554.6167358278989,-554.6167358278989,0.0
20.0,40960.0,80.0,-561.4729584373242,-561.4729584373242,0.0
30.0,61440.0,120.0,-556.5420060675833,-556.5420060675833,0.0
40.0,81920.0,160.0,-555.7525478546362,-555.7525478546362,0.0
50.0,102400.0,200.0,-560.0727523170145,-560.0727523170145,0.0
60.0,122880.0,240.0,-551.4761884142778,-551.4761884142778,0.0
70.0,143360.0,280.0,-557.2727327947844,-557.2727327947844,0.0
80.0,163840.0,320.0,-545.5005182743878,-545.5005182743878,0.0
90.0,184320.0,360.0,-546.0652463208229,-546.0652463208229,0.0
100.0,204800.0,400.0,-567.6394113334829,-567.6394113334829,0.0
110.0,225280.0,440.0,-589.1611744897771,-589.1611744897771,0.0
120.0,245760.0,480.0,-574.7063933079601,-574.7063933079601,0.0
130.0,266240.0,520.0,-576.8893670635341,-576.8893670635341,0.0
140.0,286720.0,560.0,-561.7759149606065,-561.7759149606065,0.0
150.0,307200.0,600.0,-567.0445143865363,-567.0445143865363,0.0
160.0,327680.0,640.0,-564.5672397730395,-564.5672397730395,0.0
170.0,348160.0,680.0,-552.6181868662436,-552.6181868662436,0.0
180.0,368640.0,720.0,-563.1331026116857,-563.1331026116857,0.0
190.0,389120.0,760.0,-555.2290498966803,-555.2290498966803,0.0
200.0,409600.0,800.0,-556.0859868815398,-556.0859868815398,0.0
210.0,430080.0,840.0,-549.7022891198566,-549.7022891198566,0.0
220.0,450560.0,880.0,-557.3333338194686,-557.3333338194686,0.0
230.0,471040.0,920.0,-555.5796989281667,-555.5796989281667,0.0
240.0,491520.0,960.0,-552.8342454819971,-552.8342454819971,0.0
250.0,512000.0,1000.0,-558.3072507326291,-558.3072507326291,0.0
260.0,532480.0,1040.0,-557.3922425370132,-557.3922425370132,0.0
270.0,552960.0,1080.0,-550.6791652013076,-550.6791652013076,0.0
280.0,573440.0,1120.0,-562.0662942491301,-562.0662942491301,0.0
290.0,593920.0,1160.0,-555.5510607046979,-555.5510607046979,0.0
300.0,614400.0,1200.0,-558.5274323137993,-558.5274323137993,0.0
310.0,634880.0,1240.0,-567.7854870283888,-567.7854870283888,0.0
320.0,655360.0,1280.0,-555.6925485396921,-555.6925485396921,0.0
330.0,675840.0,1320.0,-554.2035260200515,-554.2035260200515,0.0
340.0,696320.0,1360.0,-567.0365532244404,-567.0365532244404,0.0
