iterations,timesteps,gradient updates,reward 0,mean,stdev
0.0,0.0,0.0,-560.7182204595687,-560.7182204595687,0.0
10.0,10000.0,10000.0,-586.2543665321587,-586.2543665321587,0.0
20.0,20000.0,20000.0,-612.8807490166926,-612.8807490166926,0.0
30.0,30000.0,30000.0,-574.8556480502157,-574.8556480502157,0.0
40.0,40000.0,40000.0,-593.1221614573287,-593.1221614573287,0.0
50.0,50000.0,50000.0,-577.6651358213879,-577.6651358213879,0.0
60.0,60000.0,60000.0,-584.1369034995313,-584.1369034995313,0.0
70.0,70000.0,70000.0,-581.0925772692214,-581.0925772692214,0.0
80.0,80000.0,80000.0,-574.5779304042342,-574.5779304042342,0.0
90.0,90000.0,90000.0,-585.3154788054087,-585.3154788054087,0.0
100.0,100000.0,100000.0,-566.5626870762298,-566.5626870762298,0.0
110.0,110000.0,110000.0,-575.4717049008266,-575.4717049008266,0.0
120.0,120000.0,120000.0,-580.5844744297053,-580.5844744297053,0.0
130.0,130000.0,130000.0,-576.158072180938,-576.158072180938,0.0
140.0,140000.0,140000.0,-587.2444765045332,-587.2444765045332,0.0
150.0,150000.0,150000.0,-637.2550527453521,-637.2550527453521,0.0
160.0,160000.0,160000.0,-577.3960191906981,-577.3960191906981,0.0
170.0,170000.0,170000.0,-581.3072990590877,-581.3072990590877,0.0
180.0,180000.0,180000.0,-567.8212788139788,-567.8212788139788,0.0
190.0,190000.0,190000.0,-641.3765631614577,-641.3765631614577,0.0
200.0,200000.0,200000.0,-502.380373351273,-502.380373351273,0.0
210.0,210000.0,210000.0,-514.7600955685691,-514.7600955685691,0.0
220.0,220000.0,220000.0,-389.0131505432122,-389.0131505432122,0.0
230.0,230000.0,230000.0,-419.57085774976275,-419.57085774976275,0.0
240.0,240000.0,240000.0,-468.66227532301417,-468.66227532301417,0.0
250.0,250000.0,250000.0,-213.57205240905404,-213.57205240905404,0.0
260.0,260000.0,260000.0,-553.364105807595,-553.364105807595,0.0
270.0,270000.0,270000.0,-463.7448868879543,-463.7448868879543,0.0
280.0,280000.0,280000.0,-501.5202009338892,-501.5202009338892,0.0
290.0,290000.0,290000.0,-410.09902607238837,-410.09902607238837,0.0
300.0,300000.0,300000.0,-553.4285816762725,-553.4285816762725,0.0
310.0,310000.0,310000.0,-565.0203296097013,-565.0203296097013,0.0
320.0,320000.0,320000.0,-518.1192788362473,-518.1192788362473,0.0
330.0,330000.0,330000.0,-410.4650873455753,-410.4650873455753,0.0
340.0,340000.0,340000.0,-412.0132129574619,-412.0132129574619,0.0
350.0,350000.0,350000.0,-413.4279432367428,-413.4279432367428,0.0
360.0,360000.0,360000.0,-478.71614627624297,-478.71614627624297,0.0
370.0,370000.0,370000.0,-496.68297296361504,-496.68297296361504,0.0
380.0,380000.0,380000.0,-578.3723761725438,-578.3723761725438,0.0
390.0,390000.0,390000.0,-427.9258131451862,-427.9258131451862,0.0
400.0,400000.0,400000.0,-574.2822704475419,-574.2822704475419,0.0
410.0,410000.0,410000.0,-388.06462614125144,-388.06462614125144,0.0
420.0,420000.0,420000.0,-484.7875227409031,-484.7875227409031,0.0
430.0,430000.0,430000.0,-429.5442750888942,-429.5442750888942,0.0
440.0,440000.0,440000.0,-431.3913753823388,-431.3913753823388,0.0
450.0,450000.0,450000.0,-518.7207575739994,-518.7207575739994,0.0
460.0,460000.0,460000.0,-527.4783469772747,-527.4783469772747,0.0
470.0,470000.0,470000.0,-407.9951502257499,-407.9951502257499,0.0
480.0,480000.0,480000.0,-557.0830194425901,-557.0830194425901,0.0
490.0,490000.0,490000.0,-465.3803492171758,-465.3803492171758,0.0
500.0,500000.0,500000.0,-379.17832247961644,-379.17832247961644,0.0
510.0,510000.0,510000.0,-415.354162853697,-415.354162853697,0.0
520.0,520000.0,520000.0,-447.9012657043746,-447.9012657043746,0.0
530.0,530000.0,530000.0,-474.1961522850964,-474.1961522850964,0.0
540.0,540000.0,540000.0,-406.26947192191165,-406.26947192191165,0.0
550.0,550000.0,550000.0,-178.6718316306554,-178.6718316306554,0.0
560.0,560000.0,560000.0,-222.1499662828478,-222.1499662828478,0.0
570.0,570000.0,570000.0,-413.02803530491536,-413.02803530491536,0.0
580.0,580000.0,580000.0,-475.4576267826507,-475.4576267826507,0.0
590.0,590000.0,590000.0,-255.17674316311997,-255.17674316311997,0.0
600.0,600000.0,600000.0,-383.6323670278356,-383.6323670278356,0.0
610.0,610000.0,610000.0,-369.97971982413253,-369.97971982413253,0.0
620.0,620000.0,620000.0,-332.9833692507412,-332.9833692507412,0.0
630.0,630000.0,630000.0,-497.89940472013257,-497.89940472013257,0.0
640.0,640000.0,640000.0,-450.7655416552544,-450.7655416552544,0.0
650.0,650000.0,650000.0,-472.22216798069604,-472.22216798069604,0.0
660.0,660000.0,660000.0,-429.46323858837513,-429.46323858837513,0.0
670.0,670000.0,670000.0,-303.3674432982791,-303.3674432982791,0.0
680.0,680000.0,680000.0,-505.1122144776467,-505.1122144776467,0.0
690.0,690000.0,690000.0,-495.7626867782521,-495.7626867782521,0.0
700.0,700000.0,700000.0,-410.84332858977615,-410.84332858977615,0.0
710.0,710000.0,710000.0,-463.7465043824912,-463.7465043824912,0.0
720.0,720000.0,720000.0,-472.79936113202166,-472.79936113202166,0.0
730.0,730000.0,730000.0,-479.9596285238214,-479.9596285238214,0.0
740.0,740000.0,740000.0,-548.2879752424558,-548.2879752424558,0.0
