iterations,timesteps,gradient updates,reward 0,mean,stdev
0.0,0.0,0.0,-543.01802045875,-543.01802045875,0.0
10.0,10000.0,10000.0,-583.7522151986036,-583.7522151986036,0.0
20.0,20000.0,20000.0,-585.8584181005058,-585.8584181005058,0.0
30.0,30000.0,30000.0,-571.0710658815294,-571.0710658815294,0.0
40.0,40000.0,40000.0,-576.1734768171215,-576.1734768171215,0.0
50.0,50000.0,50000.0,-577.7347680626864,-577.7347680626864,0.0
60.0,60000.0,60000.0,-579.9466279779996,-579.9466279779996,0.0
70.0,70000.0,70000.0,-587.0899737592189,-587.0899737592189,0.0
80.0,80000.0,80000.0,-584.9816434888587,-584.9816434888587,0.0
90.0,90000.0,90000.0,-597.4180328088205,-597.4180328088205,0.0
100.0,100000.0,100000.0,-575.1357264965786,-575.1357264965786,0.0
110.0,110000.0,110000.0,-601.5061641281247,-601.5061641281247,0.0
120.0,120000.0,120000.0,-602.4869637236849,-602.4869637236849,0.0
130.0,130000.0,130000.0,-589.8721070060432,-589.8721070060432,0.0
140.0,140000.0,140000.0,-587.9615119329047,-587.9615119329047,0.0
150.0,150000.0,150000.0,-595.286511422368,-595.286511422368,0.0
160.0,160000.0,160000.0,-616.0203466560929,-616.0203466560929,0.0
170.0,170000.0,170000.0,-635.3809265834805,-635.3809265834805,0.0
180.0,180000.0,180000.0,-607.8549270961655,-607.8549270961655,0.0
190.0,190000.0,190000.0,-657.6554125904012,-657.6554125904012,0.0
200.0,200000.0,200000.0,-617.6817202558211,-617.6817202558211,0.0
210.0,210000.0,210000.0,-620.63016680367,-620.63016680367,0.0
220.0,220000.0,220000.0,-660.4538457458123,-660.4538457458123,0.0
230.0,230000.0,230000.0,-673.1119001065874,-673.1119001065874,0.0
240.0,240000.0,240000.0,-403.55525632986456,-403.55525632986456,0.0
250.0,250000.0,250000.0,-316.8658805715246,-316.8658805715246,0.0
260.0,260000.0,260000.0,-289.24282035314707,-289.24282035314707,0.0
270.0,270000.0,270000.0,-236.45379813566038,-236.45379813566038,0.0
280.0,280000.0,280000.0,-190.05151418944288,-190.05151418944288,0.0
290.0,290000.0,290000.0,-209.64724642100072,-209.64724642100072,0.0
300.0,300000.0,300000.0,-245.66091347537548,-245.66091347537548,0.0
310.0,310000.0,310000.0,-196.78419810443387,-196.78419810443387,0.0
320.0,320000.0,320000.0,-235.59273730871251,-235.59273730871251,0.0
330.0,330000.0,330000.0,-240.12195243264665,-240.12195243264665,0.0
340.0,340000.0,340000.0,-238.52498132642228,-238.52498132642228,0.0
350.0,350000.0,350000.0,-205.29271858687306,-205.29271858687306,0.0
360.0,360000.0,360000.0,-167.92910667005634,-167.92910667005634,0.0
370.0,370000.0,370000.0,-182.15667468741157,-182.15667468741157,0.0
380.0,380000.0,380000.0,-220.534582848244,-220.534582848244,0.0
390.0,390000.0,390000.0,-219.35930776946276,-219.35930776946276,0.0
400.0,400000.0,400000.0,-272.49012225831603,-272.49012225831603,0.0
410.0,410000.0,410000.0,-190.58887220875437,-190.58887220875437,0.0
420.0,420000.0,420000.0,-200.1356541640245,-200.1356541640245,0.0
430.0,430000.0,430000.0,-182.20973013108386,-182.20973013108386,0.0
440.0,440000.0,440000.0,-188.29634776008155,-188.29634776008155,0.0
450.0,450000.0,450000.0,-199.3935631599094,-199.3935631599094,0.0
460.0,460000.0,460000.0,-189.37539740349484,-189.37539740349484,0.0
470.0,470000.0,470000.0,-205.24616769580493,-205.24616769580493,0.0
480.0,480000.0,480000.0,-220.26044602225866,-220.26044602225866,0.0
490.0,490000.0,490000.0,-193.89837389762923,-193.89837389762923,0.0
500.0,500000.0,500000.0,-179.78773631572508,-179.78773631572508,0.0
510.0,510000.0,510000.0,-171.74283902900956,-171.74283902900956,0.0
520.0,520000.0,520000.0,-235.52520714845951,-235.52520714845951,0.0
530.0,530000.0,530000.0,-259.34718510066637,-259.34718510066637,0.0
540.0,540000.0,540000.0,-284.0580008405935,-284.0580008405935,0.0
550.0,550000.0,550000.0,-207.66060279269604,-207.66060279269604,0.0
560.0,560000.0,560000.0,-402.82424524165816,-402.82424524165816,0.0
570.0,570000.0,570000.0,-233.34708504758268,-233.34708504758268,0.0
580.0,580000.0,580000.0,-215.52959620861162,-215.52959620861162,0.0
590.0,590000.0,590000.0,-209.21952381720672,-209.21952381720672,0.0
600.0,600000.0,600000.0,-187.76291979499493,-187.76291979499493,0.0
610.0,610000.0,610000.0,-173.8441022729221,-173.8441022729221,0.0
620.0,620000.0,620000.0,-209.3244422645098,-209.3244422645098,0.0
630.0,630000.0,630000.0,-183.6697502658613,-183.6697502658613,0.0
640.0,640000.0,640000.0,-209.8333480802374,-209.8333480802374,0.0
650.0,650000.0,650000.0,-235.05501502840008,-235.05501502840008,0.0
660.0,660000.0,660000.0,-204.63477107466764,-204.63477107466764,0.0
670.0,670000.0,670000.0,-266.3282944878382,-266.3282944878382,0.0
680.0,680000.0,680000.0,-212.26823606242937,-212.26823606242937,0.0
690.0,690000.0,690000.0,-198.92884157567485,-198.92884157567485,0.0
700.0,700000.0,700000.0,-175.19292112032275,-175.19292112032275,0.0
710.0,710000.0,710000.0,-204.96719260434688,-204.96719260434688,0.0
720.0,720000.0,720000.0,-200.46185488615177,-200.46185488615177,0.0
730.0,730000.0,730000.0,-166.84802694888657,-166.84802694888657,0.0
740.0,740000.0,740000.0,-164.94933442525672,-164.94933442525672,0.0
750.0,750000.0,750000.0,-161.66944522709073,-161.66944522709073,0.0
760.0,760000.0,760000.0,-221.4147859744242,-221.4147859744242,0.0
770.0,770000.0,770000.0,-179.16738152980946,-179.16738152980946,0.0
780.0,780000.0,780000.0,-201.13094009876002,-201.13094009876002,0.0
790.0,790000.0,790000.0,-168.39220394251902,-168.39220394251902,0.0
800.0,800000.0,800000.0,-153.02259713197378,-153.02259713197378,0.0
810.0,810000.0,810000.0,-174.5349850065974,-174.5349850065974,0.0
820.0,820000.0,820000.0,-177.25663987683527,-177.25663987683527,0.0
830.0,830000.0,830000.0,-159.18542677683632,-159.18542677683632,0.0
840.0,840000.0,840000.0,-157.22370575784234,-157.22370575784234,0.0
850.0,850000.0,850000.0,-161.66833755415857,-161.66833755415857,0.0
860.0,860000.0,860000.0,-167.43097909257705,-167.43097909257705,0.0
870.0,870000.0,870000.0,-172.96589202346655,-172.96589202346655,0.0
880.0,880000.0,880000.0,-151.57141594240636,-151.57141594240636,0.0
890.0,890000.0,890000.0,-162.15202395105214,-162.15202395105214,0.0
900.0,900000.0,900000.0,-145.0486270146658,-145.0486270146658,0.0
910.0,910000.0,910000.0,-151.80857954443906,-151.80857954443906,0.0
920.0,920000.0,920000.0,-184.05680483243128,-184.05680483243128,0.0
930.0,930000.0,930000.0,-153.37627324097454,-153.37627324097454,0.0
940.0,940000.0,940000.0,-164.92250687677813,-164.92250687677813,0.0
950.0,950000.0,950000.0,-162.56432310450828,-162.56432310450828,0.0
960.0,960000.0,960000.0,-150.7794458043294,-150.7794458043294,0.0
970.0,970000.0,970000.0,-147.55280894203088,-147.55280894203088,0.0
980.0,980000.0,980000.0,-148.91492386134402,-148.91492386134402,0.0
990.0,990000.0,990000.0,-149.9768082052692,-149.9768082052692,0.0
1000.0,1000000.0,1000000.0,-144.6192693110783,-144.6192693110783,0.0
1010.0,1010000.0,1010000.0,-150.0201093751581,-150.0201093751581,0.0
1020.0,1020000.0,1020000.0,-139.05497862868023,-139.05497862868023,0.0
1030.0,1030000.0,1030000.0,-131.1208275145992,-131.1208275145992,0.0
1040.0,1040000.0,1040000.0,-138.98185200831045,-138.98185200831045,0.0
